user_id,pickup_datetime,pickup_latitude,pickup_longitude,nearest_poi
299,2013-06-08 15:04:00,40.77072,-73.95466,2856
300,2013-06-08 13:35:00,40.778062,-73.974655,3313
301,2013-06-08 11:36:00,40.726715,-73.986045,5756
302,2013-06-08 14:25:00,40.745387,-73.993497,3231
303,2013-06-08 02:31:00,40.760592,-73.991043,918
304,2013-06-08 16:57:00,40.758027,-73.966195,5968
305,2013-06-08 12:39:00,40.762592,-73.979247,907
306,2013-06-08 12:57:00,40.775557,-73.946077,5593
307,2013-06-08 14:00:00,40.71507,-74.012152,166
308,2013-06-08 13:46:00,40.760365,-73.97393,6251
309,2013-06-08 11:32:00,40.773582,-73.875827,3347
310,2013-06-08 13:52:00,40.762842,-73.98538,5696
311,2013-06-08 17:38:00,40.767677,-73.95317,4857
312,2013-06-08 14:50:00,40.750882,-74.005555,5577
313,2013-06-08 06:41:00,40.745107,-73.99842,2471
314,2013-06-08 17:42:00,40.774355,-73.963835,6200
315,2013-06-08 11:49:00,40.748695,-74.008193,4529
316,2013-06-08 15:06:00,40.766222,-73.971642,4335
317,2013-06-08 13:14:00,40.732932,-73.994025,350
318,2013-06-08 13:55:00,40.723642,-74.003432,5069
319,2013-06-08 13:49:00,40.756827,-73.972545,4056
320,2013-06-08 14:54:00,40.761325,-73.999657,2185
321,2013-06-08 10:53:00,40.769457,-73.984468,2888
322,2013-06-08 10:15:00,40.732887,-73.981392,2415
323,2013-06-08 16:58:00,40.791242,-73.947782,2220
324,2013-06-08 10:42:00,40.705657,-74.016667,3278
325,2013-06-08 14:32:00,40.742587,-73.989042,278
326,2013-06-08 15:34:00,40.759247,-73.98379,6198
327,2013-06-08 02:17:00,40.759367,-73.919667,3417
328,2013-06-08 07:44:00,40.77732,-73.950305,5983
329,2013-06-08 16:10:00,40.784462,-73.97363,2510
330,2013-06-08 13:36:00,40.740997,-73.99425,3432
331,2013-06-08 02:21:00,40.762917,-73.965575,6185
332,2013-06-08 09:11:00,40.709752,-74.012865,6239
333,2013-06-08 11:12:00,40.721732,-73.984835,309
334,2013-06-08 13:02:00,40.78201,-73.95884,6074
335,2013-06-08 11:51:00,40.718917,-73.996202,5521
336,2013-06-08 16:19:00,40.714675,-73.95818,3875
337,2013-06-08 03:32:00,40.744005,-73.98912,396
338,2013-06-08 13:03:00,40.708522,-74.013827,3501
339,2013-06-08 15:26:00,40.721345,-74.008352,4108
340,2013-06-08 10:06:00,40.748437,-73.978497,5751
341,2013-06-08 15:02:00,40.75571,-73.9684,26
342,2013-06-08 18:54:00,40.779362,-73.953583,5815
343,2013-06-08 11:43:00,40.721417,-74.005248,2722
